id,label,desc,id_no_prefix
639,Court,Court where the ticket was answerable.,Court
640,Processing System,"Processing system used by the courts to record and track tickets from issuance to disposition: TSLED = “Traffic Safety Law Enforcement & Disposition Program” used by local courts throughout most of NYS. TVB = used by NYSDMV Traffic Violation Bureaus in NYC, western Suffolk County, Rochester and Buffalo.",ProcessingSystem
641,Record Number,corresponds to the record (row) number and has no effect on the output.,RecordNumber
642,Random Values,contains random values and has no effect on customer leaving the bank.,RandomValues
643,Surname,the surname of a customer has no impact on their decision to leave the bank.,Surname
644,Credit Score,"can have an effect on customer churn, since a customer with a higher credit score is less likely to leave the bank.",CreditScore
645,Location,a customer’s location can affect their decision to leave the bank.,Location2
646,Gender,it’s interesting to explore whether gender plays a role in a customer leaving the bank.,Gender5
647,Age,"this is certainly relevant, since older customers are less likely to leave their bank than younger ones.",Age6
648,Years as Client,"refers to the number of years that the customer has been a client of the bank. Normally, older clients are more loyal and less likely to leave a bank.",YearsasClient
649,Account Balance,"also a very good indicator of customer churn, as people with a higher balance in their accounts are less likely to leave the bank compared to those with lower balances.",AccountBalance
650,Number of Products,refers to the number of products that a customer has purchased through the bank.,NumberofProducts
651,Has Credit Card,"denotes whether or not a customer has a credit card. This column is also relevant, since people with a credit card are less likely to leave the bank.",HasCreditCard
652,Active Customer,active customers are less likely to leave the bank.,ActiveCustomer
653,Salary,"as with balance, people with lower salaries are more likely to leave the bank compared to those with higher salaries.",Salary
654,Left Bank,whether or not the customer left the bank.,LeftBank
655,Symbol,The symbol or the reference number of the company,Symbol
656,Company,Name of the company,Company
657,Trading Name,The trading name of the company,TradingName
658,Sector,The sector in which the company operates,Sector1
659,Date,The date of the stock price,Date3
660,High,The highest price of the stock at that day,High1
661,Low,The lowest price of the stock at that day,Low1
662,Change,The change in price from the last day,Change
663,Change %,The percentage of the change,Change%
664,Volume,The volume of the trades for the day,Volume1
665,Value,The value of the trades for the day,Value
666,Trades,The number of trades for the day,Trades
667,Run #,The run number of the event.,Run#
668,Event #,The event number.,Event#
669,E1 (GeV),The total energy of the electron 1 (GeV).,E1(GeV)
670,Px1 (GeV),First component of the momemtum of the electron 1 (GeV).,Px1(GeV)
671,Py1 (GeV),Second component of the momemtum of the electron 1 (GeV).,Py1(GeV)
672,Pz1 (GeV),Third component of the momemtum of the electron 1 (GeV).,Pz1(GeV)
673,Pt1 (GeV),The transverse momentum of the electron 1 (GeV).,Pt1(GeV)
674,Eta1,The pseudorapidity of the electron 1.,Eta1
675,Phi1 (rad),The phi angle of the electron 1 (rad).,Phi1(rad)
676,Q1,The charge of the electron 1.,Q1
677,E2 (GeV),The total energy of the electron 2 (GeV).,E2(GeV)
678,Px2 (GeV),First component of the momemtum of the electron 2 (GeV).,Px2(GeV)
679,Py2 (GeV),Second component of the momemtum of the electron 2 (GeV).,Py2(GeV)
680,Pz2 (GeV),Third component of the momemtum of the electron 2 (GeV).,Pz2(GeV)
681,Pt2 (GeV),The transverse momentum of the electron 2 (GeV).,Pt2(GeV)
682,Eta2,The pseudorapidity of the electron 2.,Eta2
683,Phi2 (rad),The phi angle of the electron 2 (rad).,Phi2(rad)
684,Q2,The charge of the electron 2.,Q2
685,M12 (GeV),The invariant mass of two electrons (GeV).,M12(GeV)
686,Year,Year in which the quarterfinals took place,Year4
687,Team Code,Code of the teams that took part in the corresponding year,TeamCode
688,Team Name,Name of the participant teams,TeamName
689,Final Round,Final round achieved by each of the teams,FinalRound
690,Country,Country of origin or the league,Country3
691,Region,Region of the team in the league table,Region2
692,Decade,Decade of the respective year the quarterfinals took place,Decade
693,Superliga,Checking if the corresponding teams supported the superliga plan or opposed it,Superliga
694,City,City in which the quarterfinals took place,City1
695,Venue Code,Areacode of the corresponding venue,VenueCode
696,Metropolitan City,The metropolitan city in which the event took place,MetropolitanCity
697,City Population,Population of that particular city,CityPopulation
698,City GDP,Gdp of that particular city in which it took place,CityGDP
699,City Country,Country of that particular city in which the event took place,CityCountry
700,Eurostat Code,Eurostat unique code of the corresponding country it took place,EurostatCode
701,ECB Code,Ecb code of the corresponding country,ECBCode
702,COWC Code,Cowc three letter code for each of the countries,COWCCode
703,COWN Value,Cown value for each of the countries selected,COWNValue
704,Date,"date from September 17, 2014 to November 17, 2021",Date4
705,Open,the price at the beginning of the trading day,Open1
706,High,the highest price reached that day,High2
707,Low,the lowest price reached that day,Low2
708,Close,the price at the closing of the trading day,Close1
709,Volume,how many Bitcoin were traded that day,Volume2
710,Date,"date from September, 2014 to November, 2021",Date5
711,CPI,he inflation index for the US for that month (cpi = consumer price index),CPI
712,Open,the index level at the beginning of the trading day,Open2
713,High,the highest level reached that day,High3
714,Low,the lowest level reached that day,Low3
715,Close,the level at the closing of the trading day,Close2
716,Volume,how many shares in the companies that make up the index were traded that day,Volume3
717,Date,date of observations,Date6
718,Observed Weight,"Stone, pounds, ounces: observed weight",ObservedWeight
719,Total Ounces,Total weight in ounces,TotalOunces
720,Calories,"approximate calories consumed on that date. Calorie counts were taken for each food based on nutritional information and rounded up to the nearest 50 to facilitate easy record keeping. Where nutritional information was not available, calorie counts were estimated from previous experience and best guesses of ingredients and comparison to meals with available nutritional information.",Calories
721,Cal/oz,calories per ounce - calories for that day divided by weight in ounces,Cal/oz
722,Donut Day,"day where main meal was bag of five jam donuts, 1 = TRUE, 0 = FALSE",DonutDay
723,Brisk Walk,"day included at least one brisk walk of over 20 minutes, 1 = TRUE, 0 = FALSE",BriskWalk
724,Short Run,"day included at one short run of 2.5 miles, 1 = TRUE, 0 = FALSE",ShortRun
725,Wine Night,"day finished with at least one large glass of wine when not accompanied by other fluids, 1 = TRUE, 0 = FALSE",WineNight
726,High Protein,"day involved what would be considered a high protein diet, 1 = TRUE, 0 = FALSE",HighProtein
727,Exercise Period,"signifies day during period of weight-based exercise; includes rest days as part of period, 1 = TRUE, 0 = FALSE",ExercisePeriod
728,Weight Change,"change: resulting change in weight in oz, calculated from following day's observed weight",WeightChange
729,Location,Location where the crime was reported.,Location3
730,Department,Police Department that reported the crime.,Department
731,Months Reported,Number of months an individual agency reported for the year.,MonthsReported
732,Total Crime,"Includes sum of Murder, Rape, Robbery, Aggravated Assault, Burglary, Larceny and Motor Vehicle Theft.",TotalCrime
733,Violent Crime,"Subtotal includes Murder, Rape, Robbery and Aggravated Assault.",ViolentCrime
734,Murder,"One count per victim. The willful killing of one human being by another. Excludes deaths caused by negligence, suicide, or justifiable homicides, and attempts to murder, which are classified as assault.",Murder
735,Rape,"One count per victim. Penetration, no matter how slight, of the vagina or anus with any body part or object, or oral penetration by a sex organ of another person, without the consent of the victim.",Rape
736,Robbery,"One count per victim. The taking or attempting to take anything of value from the care, custody, or control of a person or persons by force or threat of force or violence and/or by putting the victim in fear.",Robbery
737,Aggravated Assault,"One count per victim. The unlawful attack by one person upon another for the purpose of inflicting severe or aggravated bodily injury. This type of assault is usually accompanied by the use of a weapon or by means likely to produce death or great bodily harm, and also includes attempts to commit murder.",AggravatedAssault
738,Property Crime,"Subtotal includes Burglary, Larceny and Motor Vehicle Theft.",PropertyCrime
739,Burglary,One count per victim. The unlawful entry of a structure to commit a felony or theft. The use of force to gain entry is not required to classify an offense as Burglary.,Burglary
740,Larceny,"One count per victim. The unlawful taking, carrying, leading, or riding away of property from the possession or constructive possession of another. It includes crimes such as shoplifting, purse snatching, bicycle thefts, etc., in which no use of force, violence, or fraud occurs. This offense category does not include offenses such as embezzlement, forgery, or bad checks.",Larceny
741,Motor Vehicle Theft,"One count per victim. The theft or attempted theft of a motor vehicle, including automobiles, trucks, buses, motorcycles, and snowmobiles.",MotorVehicleTheft
742,Region,"Region where the crime was reported. Regions include New York City (Bronx, Kings, New York, Queens, and Richmond counties) and Non-New York City (all other counties).",Region3
743,Publication Year,"Year that the journal article, book chapter was published.",PublicationYear
744,Publication Type,"Indicates whether the publication is a scientific journal article, book, book chapter, correspondence, meeting abstract, news article, proceedings paper, or a review.",PublicationType
745,Journal Name,Specific journal name relevant to the journal’s contents.,JournalName
746,Publication Title,Specific publication title of the article describing specific research done.,PublicationTitle
747,Author,Author(s) of the publication,Author
748,Issue Number,Issue number of the journal in which the publication appears. Journal issues are subparts of each journal volume. Blank means this field does not apply for this publication.,IssueNumber
749,Page Numbers,The page numbers on which the publication appears within the indicated journal. Blank means this field does not apply for this publication.,PageNumbers
750,ISSN,"International Standard Serial Number (ISSN) for the publication. ISSNs are unique eight-digit numbers used to identify a publication, distinguishing between different media formats of the same content; for example, when a periodical is published in two or more different media, a different ISSN is assigned to each media type.",ISSN
751,Peer Reviewed,"Indicates whether the publication was subject to a peer review, which is a critique of science and discussion presented in an article by experts in the field. This Review was either done (True) or not done (False).",PeerReviewed
752,Impact Factor,"Indicates the Impact Factor (IF) for the publication. Blank means the IF is either unknown or the publication has not been rated. An IF is a systematic, objective means to critically evaluate and rank the world's leading journals, with quantifiable, statistical information based on citation data. Generally, the higher the IF, the greater the impact of the specific journal’s reputation. Impact factors do not appear until 3 years after the publication of the article due to the way they are calculated.",ImpactFactor
753,Customer ID,Customer ID,CustomerID
754,Age,Customer's age in completed years,Age7
755,Exp. Years,Number of years of professional experience,Exp.Years
756,Annual Income,Annual income of the customer ($000),AnnualIncome
757,ZIP Code,Home Address ZIP code.,ZIPCode1
758,Family Size,Family size of the customer,FamilySize1
759,CC Spend,Avg. spending on credit cards per month ($000),CCSpend
760,Education,Education Level. 1: Undergrad; 2: Graduate; 3: Advanced/Professional,Education1
761,Mortgage,Value of house mortgage if any. ($000),Mortgage
762,Loan Accepted,Did this customer accept the personal loan offered in the last campaign?,LoanAccepted
763,Securities Acct,Does the customer have a securities account with the bank?,SecuritiesAcct
764,CD Acct,Does the customer have a certificate of deposit (CD) account with the bank?,CDAcct
765,Internet Banking,Does the customer use internet banking facilities?,InternetBanking
766,Bank CC,Does the customer use a credit card issued by this Bank?,BankCC
767,Bearing ID,Unique identifier for the bearing,BearingID
768,Target Class,"Target class, 1 for good and 0 for defective bearings",TargetClass
769,Experiment ID,Unique identifier of the experiment,ExperimentID
770,First Bearing ID,Unique identifier of the bearing on the first position,FirstBearingID
771,Second Bearing ID,Unique identifier of the bearing on the second position,SecondBearingID
772,Time (s),"Time, measured in seconds",Time(s)
773,X-Accel 1,Acceleration along the X-axis for the first bearing. Measured in m/s^2,X-Accel1
774,Y-Accel 1,Acceleration along the Y-axis for the first bearing. Measured in m/s^2,Y-Accel1
775,Z-Accel 1,Acceleration along the Z-axis for the first bearing. Measured in m/s^2,Z-Accel1
776,X-Accel 2,Acceleration along the X-axis for the second bearing. Measured in m/s^2,X-Accel2
777,Y-Accel 2,Acceleration along the Y-axis for the second bearing. Measured in m/s^2,Y-Accel2
778,Z-Accel 2,Acceleration along the Z-axis for the second bearing. Measured in m/s^2,Z-Accel2
779,RPM,Rotation speed. Revolutions per minute,RPM
780,Speed (Hz),Rotation speed. Speed in Hertz,Speed(Hz)
781,Motor Power (W),The power of the motor at a time. Measured in Watts,MotorPower(W)
782,CHD/MI,Respondents that have ever reported having coronary heart disease (CHD) or myocardial infarction (MI),CHD/MI
783,High Blood Pressure,"Adults who have been told they have high blood pressure by a doctor, nurse, or other health professional",HighBloodPressure
784,High Cholesterol,"Have you EVER been told by a doctor, nurse or other health professional that your blood cholesterol is high?",HighCholesterol
785,Cholesterol Check,Cholesterol check within past five years,CholesterolCheck1
786,BMI,Body Mass Index (BMI),BMI1
787,Smoker,Have you smoked at least 100 cigarettes in your entire life? [Note: 5 packs = 100 cigarettes],Smoker
788,Stroke,(Ever told) you had a stroke.,Stroke
789,Diabetes,"0 is no diabetes, 1 is pre-diabetes, and 2 is diabetes",Diabetes
790,Physical Activity,Adults who reported doing physical activity or exercise during the past 30 days other than their regular job,PhysicalActivity1
791,Fruit Consumption,Consume Fruit 1 or more times per day,FruitConsumption1
792,Veg Consumption,Consume Vegetables 1 or more times per day,VegConsumption
793,Heavy Drinker,Heavy drinkers (adult men having more than 14 drinks per week and adult women having more than 7 drinks per week),HeavyDrinker1
794,Health Care Coverage,"o you have any kind of health care coverage, including health insurance, prepaid plans such as HMOs, or government plans such as Medicare, or Indian Health Service?",HealthCareCoverage1
795,Unaffordable Care,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,UnaffordableCare
796,General Health,Would you say that in general your health is:,GeneralHealth
797,Mental Health,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",MentalHealth
798,Physical Health,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",PhysicalHealth
799,Walking Difficulty,Do you have serious difficulty walking or climbing stairs?,WalkingDifficulty1
800,Sex,Indicate sex of respondent.,Sex1
801,Age,Fourteen-level age category,Age8
802,Education,What is the highest grade or year of school you completed?,Education2
803,Household Income,"Is your annual household income from all sources: (If respondent refuses at any income level, code ""Refused."")",HouseholdIncome
804,Book Cover,URLs of book covers. Use this cover to download images yourselves if you need.,BookCover
805,Title,Title of a book.,Title2
806,Author,Author of a book.,Author1
807,Format,Physical format of a book (i.e. paperback),Format
808,Rating,"Book's rating found on the bookdepository.com(NOTE: Due to difference between scraping and download time of the dataset, this information might be different from one on the website)",Rating1
809,Price,"Book's current price found on the bookdepository.com (NOTE: Due to difference between scraping and download time of the dataset, this information might be different from one on the website)",Price
810,Currency,Currency of prices found in the dataset.,Currency
811,Old Price,"Book's old price (if exists) found on the bookdepository.com (NOTE: Due to difference between scraping and download time of the dataset, this information might be different from one on the website)",OldPrice
812,ISBN,ISBN number of a book.,ISBN
813,Category,Category of a book found on the bookdepository.com,Category1
814,Cover Path,Book's cover local path (after scraping).,CoverPath
815,Violation Date,Date of the traffic violation.违章发生日期,ViolationDate
816,Violation Time,Time of the traffic violation.违章发生时间,ViolationTime
817,Agency,Agency issuing the traffic violation. (Example: MCP is Montgomery County Police)违章处理警局,Agency1
818,Court Code,"Court code representing the district of assignment of the officer. R15 = 1st district, Rockville B15 = 2nd district, Bethesda SS15 = 3rd district, Silver Spring WG15 = 4th district, Wheaton G15 = 5th district, Germantown M15 = 6th district, Gaithersburg / Montgomery Village HQ15 = Headquarters and Special Operations违章具体处理派出所？",CourtCode
819,Charge Description,Text description of the specific charge.违章的具体描述,ChargeDescription
820,Violation Location,"Location of the violation, usually an address or intersection.违章的位置",ViolationLocation
821,Latitude,Latitude location of the traffic violation.违章位置的纬度,Latitude3
822,Longitude,Longitude location of the traffic violation.违章位置的经度,Longitude3
823,Accident Involved,If traffic violation involved an accident.是否引发事故,AccidentInvolved
824,Seat Belt Violation,If traffic violation involved a seat belt violation.是否涉及到安全带的使用,SeatBeltViolation
825,Personal Injury,If traffic violation involved Personal Injury.是否有人员受伤,PersonalInjury
826,Property Damage,If traffic violation involved Property Damage.是痘有财产损失,PropertyDamage
827,Fatality,If traffic violation involved a fatality.是否有人员死亡,Fatality
828,Commercial License,If the vehicle committing the traffic violation used Commercial License是否为公司牌照,CommercialLicense
829,Hazardous Materials,If the traffic violation involved hazardous materials.事故中是否涉及危险品,HazardousMaterials
830,Commercial Vehicle,If the vehicle committing the traffic violation is a commercial vehicle.违章车辆是否为商务车,CommercialVehicle
831,Alcohol Related,If the traffic violation included an alcohol related是否涉及酒驾,AlcoholRelated
832,Work Zone,If the traffic violation was in a work zone.违章是否发生在工作区,WorkZone
833,Vehicle Registration State,State issuing the vehicle registration.是否为国家牌照的公务车,VehicleRegistrationState
834,Vehicle Type,"Type of vehicle (Examples: Automobile, Station Wagon, Heavy Duty Truck, etc.)车型",VehicleType1
835,Vehicle Year,Year vehicle was made.车辆出厂日期,VehicleYear
836,Vehicle Manufacturer,"Manufacturer of the vehicle (Examples: Ford, Chevy, Honda, Toyota, etc.)车辆品牌",VehicleManufacturer
837,Vehicle Model,Model of the vehicle.车的颜色,VehicleModel
838,Vehicle Color,Color of the vehicle.违章类型,VehicleColor1
839,Violation Type,"Violation type. (Examples: Warning, Citation, SERO ie SAFETY EQUIPMENT REPAIR ORDERS)违章类型",ViolationType
840,Charge Code,Numeric code for the specific charge.罚款代码,ChargeCode
841,State Law Article,"Article of State Law. (TA = Transportation Article, MR = Maryland Rules)触犯条例的级别（国家级或是州级）",StateLawArticle
842,Contributing Factor,If the traffic violation was a contributing factor in an accident.这次违章是否是导致事故发生的原因,ContributingFactor
843,Driver Race,"Race of the driver. (Example: Asian, Black, White, Other, etc.)司机种族",DriverRace
844,Driver Gender,"Gender of the driver (F = Female, M = Male)司机性别",DriverGender
845,Driver City,City of the driver’s home address.司机家庭住址的城市,DriverCity
846,Driver State,State of the driver’s home address.司机家庭住址的州,DriverState
847,Driver License State,State issuing the Driver’s License.（颁发驾照的州）,DriverLicenseState
848,Arrest Type,"Type of Arrest (A = Marked, B = Unmarked, etc.)是否被逮捕",ArrestType
849,Geo-coded Location,Geo-coded location information.位置区域码，类似于中国的邮编。,Geo-codedLocation
850,NYSDOT Region,The numeric code that identifies the NYSDOT Region responsible for managing the transportation system for a specific geographic area listed as follows: Region 1 - Capital District Region 2 - Mohawk Valley Region 3 - Central New York Region 4 - Genesee Valley Region 5 - Western New York Region 6 - Central Southern Tier Region 7 - North Country Region 8 - Hudson Valley Region 9 - Southern Tier Region 10 - Long Island Region 11 - New York City,NYSDOTRegion
851,Traffic Count Station ID,Unique identifier for each Traffic Count Station concatenated from the region county code and the station number.,TrafficCountStationID
852,Roadway ID,Unique identifier that is coordinate based and assigned to the roadway for which the AADT was collected. Allows the segment to be mapped in GIS when referenced along with Begin/End Milepoint,RoadwayID
853,Ramp Indicator,Signifies by either a yes or no whether or not a ramp is included in the roadway segment,RampIndicator
854,Begin Milepoint,The starting milepoint of the segment of roadway for which the AADT applies,BeginMilepoint
855,End Milepoint,The ending milepoint of the segment of roadway for which the AADT applies,EndMilepoint
856,Begin Description,The verbal description of the start of the segment of roadway for which the AADT applies,BeginDescription
857,End Description,The verbal description of the end of the segment of roadway for which the AADT applies,EndDescription
858,Municipality,Name of the municipality in which the AADT was calculated,Municipality
859,Route Type,"Designates what kind of a route or roadway the segment of roadway is INTERNY: Interstate designation commonly known as the Interstate Highway System, a network of controlled-access highways that forms a part of the National Highway System US: US designation of a set of roads typically called U.S. Routes or U.S. Highways which forms an integrated network of roads and highways numbered within a nationwide grid in the United States NY: New York State Highway designation assigned at the State level COUNTY: County Route designations assigned at the county level A blank field designates a ‘Local’ town, municipality or city roadway",RouteType
860,Roadway Type,Numerical description of the type of roadway for which the AADT was collected,RoadwayType
861,Roadway Name,Name of the roadway the AADT was calculated for,RoadwayName
862,Year,Year the Annual Average Daily Traffic value is provided,Year5
863,AADT Volume,Annual Average Daily Traffic volume value: on any given day the average numbers of vehicles that pass the segment of roadway as described by the Begin/End Descriptions. These figures are based on an actual count taken for that year or statistically validated estimated and forecasted values,AADTVolume
864,AADT Type,"Indicates whether the AADT for a specific year count was actual, forecasted or estimated - Actual - count reading numeric value from an actual traffic counting study - Forecast – statistical value established for years before an earlier actual count or after the last actual count and is based on earlier data only - Estimate - statistical value established for years between two actual counts and can be derived from both earlier and later data",AADTType
865,L-Ankle Accel X,acceleration from the left-ankle sensor (X axis),L-AnkleAccelX
866,L-Ankle Accel Y,acceleration from the left-ankle sensor (Y axis),L-AnkleAccelY
867,L-Ankle Accel Z,acceleration from the left-ankle sensor (Z axis),L-AnkleAccelZ
868,L-Ankle Gyro X,gyro from the left-ankle sensor (X axis),L-AnkleGyroX
869,L-Ankle Gyro Y,gyro from the left-ankle sensor (Y axis),L-AnkleGyroY
870,L-Ankle Gyro Z,gyro from the left-ankle sensor (Z axis),L-AnkleGyroZ
871,R-Lower Arm Accel X,acceleration from the right-lower-arm sensor (X axis),R-LowerArmAccelX
872,R-Lower Arm Accel Y,acceleration from the right-lower-arm sensor (Y axis),R-LowerArmAccelY
873,R-Lower Arm Accel Z,acceleration from the right-lower-arm sensor (Z axis),R-LowerArmAccelZ
874,R-Lower Arm Gyro X,gyro from the right-lower-arm sensor (X axis),R-LowerArmGyroX
875,R-Lower Arm Gyro Y,gyro from the right-lower-arm sensor (Y axis),R-LowerArmGyroY
876,R-Lower Arm Gyro Z,gyro from the right-lower-arm sensor (Z axis),R-LowerArmGyroZ
877,Activity,corresponding activity,Activity
878,Volunteer,volunteer number,Volunteer
879,ID,non identifiable randomly generated character id.,ID
880,Full Name,full name of this character.,FullName
881,Alias,another way to call the character.,Alias
882,Gender,gender of the this character.,Gender6
883,Hair Color,hair color of this character.,HairColor
884,Love Rank,love rank based in users preference.,LoveRank
885,Hate Rank,hate rank based in users preference.,HateRank
886,Eye Color,eye color of the character.,EyeColor
887,Birthday,date of his birthday.,Birthday
888,Blood Type,blood type of the character.,BloodType
889,Tags,comma separated list of tags for this character.,Tags1
890,Loves,how many users love this character.,Loves
891,Hates,how many users hate this character.,Hates
892,Description,short text with description if this character.,Description
893,Anime Planet URL,url to the main page of character in Anime Planet.,AnimePlanetURL
894,User Preference,"True if the user loves the character, False if he hates it.",UserPreference
895,Survival Months,"number of months patient survived (has survived, if patient is still alive)",SurvivalMonths
896,Alive Status,"binary variable. 0=dead at end of survival period, 1 means still alive",AliveStatus
897,Age at Heart Attack,age in years when heart attack occurred,AgeatHeartAttack
898,Pericardial Effusion,"binary. Pericardial effusion is fluid around the heart. 0=no fluid, 1=fluid",PericardialEffusion
899,Contractility Measure,a measure of contracility around the heart lower numbers are increasingly abnormal,ContractilityMeasure
900,E-point Septal Separation,"E-point septal separation, another measure of contractility. Larger numbers are increasingly abnormal.",E-pointSeptalSeparation
901,Left Ventricular Dimension,left ventricular end-diastolic dimension. This is a measure of the size of the heart at end-diastole. Large hearts tend to be sick hearts.,LeftVentricularDimension
902,Segment Motion,a measure of how the segments of the left ventricle are moving,SegmentMotion
903,Wall Motion Index,equals wall-motion-score divided by number of segments seen. Usually 12-13 segments are seen in an echocardiogram. Use this variable INSTEAD of the wall motion score.,WallMotionIndex
904,Derived Var,a derivate var which can be ignored,DerivedVar
905,Patient Name,"the name of the patient (I have replaced them with ""name"")",PatientName
906,Ignore,something that is meaningless or can be ignored,Ignore0
907,1-Year Survival,Derived from the first two attributes. 0 means patient was either dead after 1 year or had been followed for less than 1 year. 1 means patient was alive at 1 year.,1-YearSurvival
908,Team Code,Code of team,TeamCode1
909,Player Tag,Tag of player,PlayerTag
910,Opponent Code,Code of opposing team in match,OpponentCode
911,Position,Position played by player in match,Position1
912,Champion,Champion played by player in match,Champion
913,Kills,Number of kills by player in match,Kills1
914,Deaths,Number of deaths by player in match,Deaths1
915,Assists,Number of assists by player in match,Assists1
916,Creep Score,Number of minions and monsters killed by player in match,CreepScore
917,Damage %,Gold earned by player in match,Damage%
918,Kill %,Percentage of total damage done by team to other champions done by player.,Kill%
919,Wards Placed,Percentage of team kills that player was part of.,WardsPlaced
920,Wards Killed,Number of wards placed by player in match.,WardsKilled
921,Ward Score,Number of wards killed by player in match.,WardScore
922,Dragon Kills,Sum of wards placed and wards killed by player in match.,DragonKills
923,Opp Dragon Kills,Number of dragons team killed in match.,OppDragonKills
924,Baron Kills,Number of dragons opposing team killed in match.,BaronKills
925,Opp Baron Kills,Number of Barons killed in match.,OppBaronKills
926,Match Result,Number of Barons opposing team killed in match.,MatchResult
927,Result,Win or Lose (W/L),Result
928,Rank,Rank of the billionaires in world,Rank2
929,Name,Name of the billionaires,Name1
930,Age,Age of the billionaires,Age9
931,Income Source,Income source of the billionaires,IncomeSource
932,Industry,In which industry billionaires works,Industry
933,Gender,Gender of the billionaires,Gender7
934,Continent,Continent of the business,Continent
935,Country,Country of the business,Country4
936,Headquarter,Headquarter of the business,Headquarter
937,State,State of the business,State2
938,Net Worth ($B),Net worth of individual in $ billions,NetWorth($B)
939,Position,What is the position of individual in their business,Position2
940,Year,Year in which the crime took place,Year6
941,Region,"Geographical administrative region names of Bangladesh Police (DMP = Dhaka Metropolitan Police, CMP = Chittagong Metropolitan Police, RMP = Rajshahi Metropolitan Police, RPMP - Rangpur Metropolitan Police, etc.)",Region4
942,Armed Robbery,Violent robbery committed by an armed gang in a geographical unit during the year,ArmedRobbery
943,Robbery,"Taking or attempting to take anything of value by force, threat of force, or by putting the victim in fear",Robbery1
944,Murder,"Intentional killing. Unlawful, as in not legally justified. Committed with malice aforethought,",Murder1
945,Sensational Cases,"Speedy disposal of sensational and notorious cases like murder, rape, etc.",SensationalCases
946,Riot,violent public disorder; specifically : a tumultuous disturbance of the public peace by three or more persons assembled together,Riot
947,Heinous Crimes,"Number of heinous crimes such as rape, dowry, grievous injury. domestic violence, etc.",HeinousCrimes
948,Kidnapping,Unlawful taking and carrying away of a person by force or fraud or the unlawful seizure and detention of a person against his will.,Kidnapping
949,Police Attacks,Number of attacks on Police in a geographical unit during the year,PoliceAttacks
950,Burglary,Breaking and entering and sometimes housebreaking. Illegal entry of a building with intent to commit a crime,Burglary1
951,Theft,Taking of another person's property or services without that person's permission or consent with the intent to deprive the rightful owner of it.,Theft
952,Other Crimes,Number of other type of crimes in a geographical unit during the year,OtherCrimes
953,Arms Recovery,Recovery cases under Arms Act in a geographical unit during the year,ArmsRecovery
954,Explosive Recovery,Explosive Recovery cases in a geographical unit during the year,ExplosiveRecovery
955,Narcotics Recovery,Narcotics Recovery cases in a geographical unit during the year,NarcoticsRecovery
956,Smuggling Recovery,Recovery cases of Smuggling in a geographical unit during the year,SmugglingRecovery
957,Total Recovery,Total Recovery cases in a geographical unit during the year,TotalRecovery
958,Total Crimes,Total crime cases in a geographical unit during the year,TotalCrimes1
959,Statistics Year,Year of statistics,StatisticsYear
960,Crime Rate,"Crime rate per 100,000 people of the country",CrimeRate1
961,Crime Rate Change,% Change in crime rate compared to last year,CrimeRateChange
962,Date,the date in which the coin had that price and volume,Date7
963,Low,the lowwst price of that day in USD dollars,Low4
964,High,the highest price of that day in USD dollars,High4
965,Open,the price when that day started in the markets in USD dollars,Open3
966,Close,the price when that day closed in the markets in USD dollars,Close3
967,Volume,the quantity of that coin that was traded in that day,Volume4
968,Volume USD,the quantity of that coin that was traded in that day in USD dollars,VolumeUSD
969,Symbol,the symbol of the cryptocurrency,Symbol1
970,Logo,the image url containing the cryptocurrency logo,Logo
971,Name,the full name of the cryptocurrency,Name2
972,ID,incident identifier.,ID1
973,Process Transition,eight levels controlling the incident management process transitions from opening until closing the case.,ProcessTransition
974,Status,boolean attribute that shows whether the record is active or closed/canceled.,Status2
975,Group Chg Count,number of times the incident has the group or the support analysts changed.,GroupChgCount
976,Rejection Count,number of times the incident resolution was rejected by the caller.,RejectionCount
977,Update Count,number of incident updates until that moment.,UpdateCount
978,SLA Exceeded,boolean attribute that shows whether the incident exceeded the target SLA.,SLAExceeded
979,Affected User,identifier of the user affected.,AffectedUser
980,Reported By,identifier of the user who reported the incident.,ReportedBy
981,Opened Date,incident user opening date and time,OpenedDate
982,Opened By,identifier of the user who registered the incident.,OpenedBy
983,Created Date,incident system creation date and time.,CreatedDate
984,Updated By,identifier of the user who updated the incident and generated the current log record.,UpdatedBy
985,Update Date,incident system update date and time.,UpdateDate
986,Reported Via,categorical attribute that shows by what means the incident was reported.,ReportedVia
987,Location ID,identifier of the location of the place affected.,LocationID
988,Service Category,first-level description of the affected service.,ServiceCategory
989,Service Subcategory,"second-level description of the affected service (related to the first level description, i.e., to category).",ServiceSubcategory
990,Service Availability,description of the user perception about service availability.,ServiceAvailability
991,Affected Item,(confirmation item) identifier used to report the affected item (not mandatory).,AffectedItem
992,Impact Description,description of the impact caused by the incident.,ImpactDescription
993,Urgency Level,description of the urgency informed by the user for the incident resolution.,UrgencyLevel
994,Priority,calculated by the system based on 'impact' and 'urgency'.,Priority
995,Support Group,identifier of the support group in charge of the incident.,SupportGroup
996,Assigned To,identifier of the user in charge of the incident.,AssignedTo
